ensemble,n,k,param_label,param_value,distance_label,d_mean,d_n,d_stdv
gnp,500,0.0,p,0.0,CommunicabilityJSD,0.0,1000,0.0
gnp,500,0.0,p,0.0,DMeasure,0.0,1000,0.0
gnp,500,0.0,p,0.0,DegreeDivergence,0.0,1000,0.0
gnp,500,0.0,p,0.0,DeltaCon,0.0,1000,0.0
gnp,500,0.0,p,0.0,DistributionalNBD,0.0,1000,0.0
gnp,500,0.0,p,0.0,Frobenius,0.0,1000,0.0
gnp,500,0.0,p,0.0,GraphDiffusion,0.0,1000,0.0
gnp,500,0.0,p,0.0,Hamming,0.0,1000,0.0
gnp,500,0.0,p,0.0,HammingIpsenMikhailov,0.0,1000,0.0
gnp,500,0.0,p,0.0,IpsenMikhailov,0.0,1000,0.0
gnp,500,0.0,p,0.0,Jaccard,0.0,1000,0.0
gnp,500,0.0,p,0.0,LaplacianSpectralEUL,0.0,1000,0.0
gnp,500,0.0,p,0.0,LaplacianSpectralGJS,0.0,1000,0.0
gnp,500,0.0,p,0.0,NetLSD,0.0,1000,0.0
gnp,500,0.0,p,0.0,NetSimile,0.0,1000,0.0
gnp,500,0.0,p,0.0,NonBacktrackingSpectral,0.0,1000,0.0
gnp,500,0.0,p,0.0,PolynomialDissimilarity,0.0,1000,0.0
gnp,500,0.0,p,0.0,PortraitDivergence,0.0,1000,0.0
gnp,500,0.0,p,0.0,QuantumJSD,0.0,1000,0.0
gnp,500,0.0,p,0.0,ResistancePerturbation,0.0,1000,0.0
gnp,500,10.0,p,0.02,CommunicabilityJSD,0.00089374,1000,0.00083974
gnp,500,10.0,p,0.02,DMeasure,0.03838677,1000,0.01777
gnp,500,10.0,p,0.02,DegreeDivergence,0.01928578,1000,0.00680668
gnp,500,10.0,p,0.02,DeltaCon,16.34690233,1000,0.45276011
gnp,500,10.0,p,0.02,DistributionalNBD,1.39024423,1000,0.53962213
gnp,500,10.0,p,0.02,Frobenius,59.28547589,1000,0.64565649
gnp,500,10.0,p,0.02,GraphDiffusion,3.92166648,1000,1.7904105
gnp,500,10.0,p,0.02,Hamming,0.03906154,1000,0.00084338
gnp,500,10.0,p,0.02,HammingIpsenMikhailov,0.03133618,1000,0.00374534
gnp,500,10.0,p,0.02,IpsenMikhailov,0.04648143,1000,0.01312446
gnp,500,10.0,p,0.02,Jaccard,0.9898177,1000,0.00219319
gnp,500,10.0,p,0.02,LaplacianSpectralEUL,0.08404534,1000,0.00961681
gnp,500,10.0,p,0.02,LaplacianSpectralGJS,0.07059684,1000,0.01204967
gnp,500,10.0,p,0.02,NetLSD,12.08369634,1000,8.57561069
gnp,500,10.0,p,0.02,NetSimile,7.34918841,1000,1.58765432
gnp,500,10.0,p,0.02,NonBacktrackingSpectral,0.2158668,1000,0.05323344
gnp,500,10.0,p,0.02,PolynomialDissimilarity,0.00065906,1000,7.64e-06
gnp,500,10.0,p,0.02,PortraitDivergence,0.17822062,1000,0.02509372
gnp,500,10.0,p,0.02,QuantumJSD,0.19215627,1000,0.00379381
gnp,500,10.0,p,0.02,ResistancePerturbation,21.81589045,1000,41.83203822
gnp,500,20.0,p,0.04,CommunicabilityJSD,0.00027543,1000,0.00025142
gnp,500,20.0,p,0.04,DMeasure,0.0122835,1000,0.00684148
gnp,500,20.0,p,0.04,DegreeDivergence,0.02676176,1000,0.00789807
gnp,500,20.0,p,0.04,DeltaCon,15.77611254,1000,0.28951702
gnp,500,20.0,p,0.04,DistributionalNBD,0.84791619,1000,0.30025068
gnp,500,20.0,p,0.04,Frobenius,82.96481203,1000,0.63242804
gnp,500,20.0,p,0.04,GraphDiffusion,2.29003418,1000,1.56044611
gnp,500,20.0,p,0.04,Hamming,0.07659253,1000,0.0011661
gnp,500,20.0,p,0.04,HammingIpsenMikhailov,0.0562534,1000,0.00214899
gnp,500,20.0,p,0.04,IpsenMikhailov,0.04254166,1000,0.01300941
gnp,500,20.0,p,0.04,Jaccard,0.97970946,1000,0.00219604
gnp,500,20.0,p,0.04,LaplacianSpectralEUL,0.06900393,1000,0.00793246
gnp,500,20.0,p,0.04,LaplacianSpectralGJS,0.04974002,1000,0.00815579
gnp,500,20.0,p,0.04,NetLSD,1.17637895,1000,0.84644731
gnp,500,20.0,p,0.04,NetSimile,8.18019832,1000,1.46272298
gnp,500,20.0,p,0.04,NonBacktrackingSpectral,0.31024773,1000,0.08298966
gnp,500,20.0,p,0.04,PolynomialDissimilarity,0.00092301,1000,7.34e-06
gnp,500,20.0,p,0.04,PortraitDivergence,0.15116844,1000,0.01633363
gnp,500,20.0,p,0.04,QuantumJSD,0.26499639,1000,0.00502405
gnp,500,20.0,p,0.04,ResistancePerturbation,22.08387837,1000,2.70636614
gnp,500,30.0,p,0.06,CommunicabilityJSD,0.00013008,1000,0.00011674
gnp,500,30.0,p,0.06,DMeasure,0.00909461,1000,0.00442809
gnp,500,30.0,p,0.06,DegreeDivergence,0.0317187,1000,0.00868613
gnp,500,30.0,p,0.06,DeltaCon,14.83317038,1000,0.21621879
gnp,500,30.0,p,0.06,DistributionalNBD,0.6376625,1000,0.21001492
gnp,500,30.0,p,0.06,Frobenius,100.59941671,1000,0.6119223
gnp,500,30.0,p,0.06,GraphDiffusion,1.83133151,1000,1.17172605
gnp,500,30.0,p,0.06,Hamming,0.11243919,1000,0.00133515
gnp,500,30.0,p,0.06,HammingIpsenMikhailov,0.08099856,1000,0.00152326
gnp,500,30.0,p,0.06,IpsenMikhailov,0.04142304,1000,0.01280946
gnp,500,30.0,p,0.06,Jaccard,0.96911444,1000,0.00215461
gnp,500,30.0,p,0.06,LaplacianSpectralEUL,0.06157514,1000,0.00693671
gnp,500,30.0,p,0.06,LaplacianSpectralGJS,0.04080662,1000,0.00676676
gnp,500,30.0,p,0.06,NetLSD,0.62460555,1000,0.44712476
gnp,500,30.0,p,0.06,NetSimile,8.08220005,1000,1.38398703
gnp,500,30.0,p,0.06,NonBacktrackingSpectral,0.37647775,1000,0.10423908
gnp,500,30.0,p,0.06,PolynomialDissimilarity,0.00111802,1000,6.76e-06
gnp,500,30.0,p,0.06,PortraitDivergence,0.15851441,1000,0.01718048
gnp,500,30.0,p,0.06,QuantumJSD,0.31578919,1000,0.00576655
gnp,500,30.0,p,0.06,ResistancePerturbation,9.87151114,1000,0.60400501
gnp,500,40.0,p,0.08,CommunicabilityJSD,9.101e-05,1000,8.666e-05
gnp,500,40.0,p,0.08,DMeasure,0.0077046,1000,0.00419283
gnp,500,40.0,p,0.08,DegreeDivergence,0.03564716,1000,0.00866588
gnp,500,40.0,p,0.08,DeltaCon,13.99222093,1000,0.18831032
gnp,500,40.0,p,0.08,DistributionalNBD,0.55519822,1000,0.17786936
gnp,500,40.0,p,0.08,Frobenius,114.92369454,1000,0.62510473
gnp,500,40.0,p,0.08,GraphDiffusion,2.0985941,1000,0.77067883
gnp,500,40.0,p,0.08,Hamming,0.14686707,1000,0.00149707
gnp,500,40.0,p,0.08,HammingIpsenMikhailov,0.10510291,1000,0.00142795
gnp,500,40.0,p,0.08,IpsenMikhailov,0.04080974,1000,0.01312205
gnp,500,40.0,p,0.08,Jaccard,0.9583641,1000,0.00216015
gnp,500,40.0,p,0.08,LaplacianSpectralEUL,0.05765202,1000,0.00670968
gnp,500,40.0,p,0.08,LaplacianSpectralGJS,0.03565408,1000,0.00582183
gnp,500,40.0,p,0.08,NetLSD,0.3939314,1000,0.28660469
gnp,500,40.0,p,0.08,NetSimile,8.05513412,1000,1.38652367
gnp,500,40.0,p,0.08,NonBacktrackingSpectral,0.42827191,1000,0.12259372
gnp,500,40.0,p,0.08,PolynomialDissimilarity,0.00127792,1000,6.73e-06
gnp,500,40.0,p,0.08,PortraitDivergence,0.09918935,1000,0.01693483
gnp,500,40.0,p,0.08,QuantumJSD,0.35451871,1000,0.00638658
gnp,500,40.0,p,0.08,ResistancePerturbation,5.89840726,1000,0.3279003
gnp,500,50.0,p,0.1,CommunicabilityJSD,6.542e-05,1000,5.839e-05
gnp,500,50.0,p,0.1,DMeasure,0.00637977,1000,0.00377248
gnp,500,50.0,p,0.1,DegreeDivergence,0.03900392,1000,0.00953031
gnp,500,50.0,p,0.1,DeltaCon,13.25245422,1000,0.22167534
gnp,500,50.0,p,0.1,DistributionalNBD,0.4924844,1000,0.14441503
gnp,500,50.0,p,0.1,Frobenius,127.04282941,1000,0.63399316
gnp,500,50.0,p,0.1,GraphDiffusion,1.98787815,1000,0.56286788
gnp,500,50.0,p,0.1,Hamming,0.17939374,1000,0.00171733
gnp,500,50.0,p,0.1,HammingIpsenMikhailov,0.12808511,1000,0.00139065
gnp,500,50.0,p,0.1,IpsenMikhailov,0.04062432,1000,0.01355091
gnp,500,50.0,p,0.1,Jaccard,0.94736749,1000,0.00226107
gnp,500,50.0,p,0.1,LaplacianSpectralEUL,0.05462518,1000,0.00687555
gnp,500,50.0,p,0.1,LaplacianSpectralGJS,0.03159801,1000,0.00514899
gnp,500,50.0,p,0.1,NetLSD,0.26288549,1000,0.18597962
gnp,500,50.0,p,0.1,NetSimile,8.29415771,1000,1.36596739
gnp,500,50.0,p,0.1,NonBacktrackingSpectral,0.47306728,1000,0.13276752
gnp,500,50.0,p,0.1,PolynomialDissimilarity,0.0014133,1000,6.77e-06
gnp,500,50.0,p,0.1,PortraitDivergence,0.05194578,1000,0.01424506
gnp,500,50.0,p,0.1,QuantumJSD,0.38377726,1000,0.00662452
gnp,500,50.0,p,0.1,ResistancePerturbation,4.01317632,1000,0.18857386
gnp,500,60.0,p,0.12,CommunicabilityJSD,5.055e-05,1000,4.531e-05
gnp,500,60.0,p,0.12,DMeasure,0.0046244,1000,0.00282259
gnp,500,60.0,p,0.12,DegreeDivergence,0.04254582,1000,0.00945818
gnp,500,60.0,p,0.12,DeltaCon,12.55161066,1000,0.24135657
gnp,500,60.0,p,0.12,DistributionalNBD,0.45187528,1000,0.12545735
gnp,500,60.0,p,0.12,Frobenius,137.65353631,1000,0.57722908
gnp,500,60.0,p,0.12,GraphDiffusion,1.80427022,1000,0.48629379
gnp,500,60.0,p,0.12,Hamming,0.21039398,1000,0.00178802
gnp,500,60.0,p,0.12,HammingIpsenMikhailov,0.15002802,1000,0.00138902
gnp,500,60.0,p,0.12,IpsenMikhailov,0.04088617,1000,0.01353723
gnp,500,60.0,p,0.12,Jaccard,0.93621531,1000,0.0022351
gnp,500,60.0,p,0.12,LaplacianSpectralEUL,0.05121201,1000,0.00655947
gnp,500,60.0,p,0.12,LaplacianSpectralGJS,0.02847595,1000,0.00480566
