ensemble,n,param_label,param_value,distance_label,d_mean,d_n,d_stdv
gnk,31,n,31,CommunicabilityJSD,0.004240349931623334,352,0.004225429373964236
gnp,31,n,31,DeltaCon,4.566426601760912,364,0.23071734434482502
gnp,31,n,31,DistributionalNBD,6.793247623913273,364,2.190545101996248
gnp,31,n,31,Frobenius,12.885424711209488,364,0.5801039092199589
gnp,31,n,31,GraphDiffusion,2.3298633638094493,364,0.21232150236248687
gnp,31,n,31,Hamming,0.17889220204210723,364,0.016001589992188477
gnp,31,n,31,HammingIpsenMikhailov,0.13676973008685522,364,0.015018723632070442
gnp,31,n,31,IpsenMikhailov,0.20066999694326335,364,0.04515379868790358
gnp,31,n,31,Jaccard,0.9461125731249965,364,0.02214023918820009
gnp,31,n,31,LaplacianSpectralEUL,0.7093019063307109,364,0.0740716372264822
gnp,31,n,31,LaplacianSpectralGJS,0.5391855614162769,364,0.03320661071304137
gnp,31,n,31,NetLSD,16.308972292343526,364,12.179053815932107
gnp,31,n,31,NetSimile,11.447259907756594,364,2.6099966253067532
gnp,31,n,31,NonBacktrackingSpectral,0.2516420579072845,364,0.06891589623995596
gnp,31,n,31,PolynomialDissimilarity,0.01355464075403504,364,0.0006188341288662071
gnp,31,n,31,PortraitDivergence,0.25484732856239933,364,0.09406314747662702
gnp,31,n,31,QuantumJSD,0.13027025111896498,364,0.008978182126877518
gnp,31,n,31,ResistancePerturbation,28.35557468560445,17,5.9745830685596335
gnp,31,n,31,DegreeDivergence,0.1065511057327293,364,0.05169925562010659
gnp,31,n,31,DMeasure,0.13499704579010235,364,0.06156520007519699
gnp,31,n,31,CommunicabilityJSD,0.019987085755583788,364,0.022177845073401578
gnk,31,n,31,IpsenMikhailov,0.17868963228069215,352,0.0348292728985018
gnk,31,n,31,DegreeDivergence,0.13785011285851964,352,0.05029701809353465
gnk,31,n,31,DeltaCon,3.882836088665441,352,0.18764264647177725
gnk,31,n,31,DistributionalNBD,4.4841027388552925,352,1.3179139132376285
gnk,31,n,31,Frobenius,17.26615041580396,352,0.5733059407390566
gnk,31,n,31,GraphDiffusion,1.486393982562282,352,0.1459229604976047
gnk,31,n,31,Hamming,0.3209114778694675,352,0.021299926027544647
gnk,31,n,31,HammingIpsenMikhailov,0.23168311940240546,352,0.01569586738235587
gnk,31,n,31,Jaccard,0.8878429184604294,352,0.022505447303757937
gnk,31,n,31,LaplacianSpectralEUL,0.593040552460462,352,0.045817043258304886
gnk,31,n,31,LaplacianSpectralGJS,0.439439202139258,352,0.03142026594385007
gnk,31,n,31,NetLSD,1.8326484450981337,352,2.7890921660244388
gnk,31,n,31,NetSimile,11.107949304580393,352,1.6748906787316649
gnk,31,n,31,NonBacktrackingSpectral,0.2811870245776641,352,0.06584547185532488
gnk,31,n,31,PolynomialDissimilarity,0.018329195379383767,352,0.0006327687419887906
gnk,31,n,31,PortraitDivergence,0.21717587381131173,352,0.07694415119592125
gnk,31,n,31,DMeasure,0.061196390710712985,352,0.036229618227674995
gnk,31,n,31,QuantumJSD,0.17289104038007228,352,0.010569631214325574
