ensemble,n,k,param_label,param_value,distance_label,d_mean,d_n,d_stdv
pa,500,4,alpha,-5.0,CommunicabilityJSD,9.724035857671218e-05,2316,5.998359900944718e-05
pa,500,4,alpha,-5.0,DMeasure,0.007679022494901913,2316,0.0033535121410270276
pa,500,4,alpha,-5.0,DegreeDivergence,0.002523666665942947,2316,0.001588105546489093
pa,500,4,alpha,-5.0,DeltaCon,24.75610369780486,2316,0.6451456293476835
pa,500,4,alpha,-5.0,DistributionalNBD,0.7449450658865178,2316,0.23819658635252608
pa,500,4,alpha,-5.0,Frobenius,61.12076544935724,2316,0.21156617857974722
pa,500,4,alpha,-5.0,GraphDiffusion,5.367016206332339,2316,2.2504505441668097
pa,500,4,alpha,-5.0,Hamming,0.014973117072969116,2316,0.00010363404304512208
pa,500,4,alpha,-5.0,HammingIpsenMikhailov,0.010675350233977072,2316,9.934842912082431e-05
pa,500,4,alpha,-5.0,IpsenMikhailov,0.012697027842747156,2316,0.0024907970615213283
pa,500,4,alpha,-5.0,Jaccard,0.9673351313528005,2316,0.0034584484952915927
pa,500,4,alpha,-5.0,LaplacianSpectralEUL,0.050454343589202824,2316,0.003424927416800679
pa,500,4,alpha,-5.0,LaplacianSpectralGJS,0.04155220146706603,2316,0.003165168748852726
pa,500,4,alpha,-5.0,NetLSD,0.9885450047871508,2316,0.5715456015007893
pa,500,4,alpha,-5.0,NetSimile,5.244941340879812,2316,1.3489021410842144
pa,500,4,alpha,-5.0,NonBacktrackingSpectral,0.159755259516348,2316,0.04184777095522263
pa,500,4,alpha,-5.0,PolynomialDissimilarity,0.0002444658660907941,2316,8.376783888061852e-07
pa,500,4,alpha,-5.0,PortraitDivergence,0.10321166670206074,2316,0.006402131233975904
pa,500,4,alpha,-5.0,QuantumJSD,0.11932269139551888,2316,0.0004602808578136366
pa,500,4,alpha,-5.0,ResistancePerturbation,68.36218070953056,2316,2.3074126029273034
pa,500,4,alpha,-4.875,CommunicabilityJSD,9.877801167453426e-05,2316,6.099002694665332e-05
pa,500,4,alpha,-4.875,DMeasure,0.007716736725029951,2316,0.0033892145502948954
pa,500,4,alpha,-4.875,DegreeDivergence,0.0026105941416694235,2316,0.001697611486016033
pa,500,4,alpha,-4.875,DeltaCon,24.654579570921133,2316,0.5731540044591062
pa,500,4,alpha,-4.875,DistributionalNBD,0.7410205736220197,2316,0.2339466593005634
pa,500,4,alpha,-4.875,Frobenius,61.20284022275992,2316,0.20590813509676179
pa,500,4,alpha,-4.875,GraphDiffusion,5.250294499213731,2316,2.3489318140154047
pa,500,4,alpha,-4.875,Hamming,0.01501334681692772,2316,0.00010099939726098032
pa,500,4,alpha,-4.875,HammingIpsenMikhailov,0.010709050926589123,2316,0.00010671775682980477
pa,500,4,alpha,-4.875,IpsenMikhailov,0.012828435546407509,2316,0.0025903270210209887
pa,500,4,alpha,-4.875,Jaccard,0.9686759803936809,2316,0.0033616887927527877
pa,500,4,alpha,-4.875,LaplacianSpectralEUL,0.050520559468269395,2316,0.0034559483855334566
pa,500,4,alpha,-4.875,LaplacianSpectralGJS,0.04141936226309183,2316,0.0031804850852222826
pa,500,4,alpha,-4.875,NetLSD,0.9838155341947377,2316,0.578452827178257
pa,500,4,alpha,-4.875,NetSimile,5.174412466921746,2316,1.3875447563879493
pa,500,4,alpha,-4.875,NonBacktrackingSpectral,0.16073342333887097,2316,0.04208622154412199
pa,500,4,alpha,-4.875,PolynomialDissimilarity,0.00024479286877568824,2316,8.202652869948788e-07
pa,500,4,alpha,-4.875,PortraitDivergence,0.10355361956233164,2316,0.0066388286565907196
pa,500,4,alpha,-4.875,QuantumJSD,0.11955067768200829,2316,0.00045809963885516837
pa,500,4,alpha,-4.875,ResistancePerturbation,69.00563448694679,2316,2.3979257908094365
pa,500,4,alpha,-4.75,CommunicabilityJSD,0.00010016586110234369,2316,6.263836710352207e-05
pa,500,4,alpha,-4.75,DMeasure,0.0075760726292660235,2316,0.0033599842462988102
pa,500,4,alpha,-4.75,DegreeDivergence,0.002622641918881454,2316,0.001704063569991894
pa,500,4,alpha,-4.75,DeltaCon,24.60855465726579,2316,0.534729479424515
pa,500,4,alpha,-4.75,DistributionalNBD,0.7444461861189988,2316,0.22134305405419555
pa,500,4,alpha,-4.75,Frobenius,61.28090530411788,2316,0.20174912979083234
pa,500,4,alpha,-4.75,GraphDiffusion,5.344791178755852,2316,2.2932742616884068
pa,500,4,alpha,-4.75,Hamming,0.015051663485631608,2316,9.91015305211981e-05
pa,500,4,alpha,-4.75,HammingIpsenMikhailov,0.010736702670757343,2316,0.00010494251440857426
pa,500,4,alpha,-4.75,IpsenMikhailov,0.012907813993782397,2316,0.00254496225975699
pa,500,4,alpha,-4.75,Jaccard,0.9699310214421379,2316,0.0033097290698666996
pa,500,4,alpha,-4.75,LaplacianSpectralEUL,0.05054217597247347,2316,0.0035352671366975777
pa,500,4,alpha,-4.75,LaplacianSpectralGJS,0.04144261277899871,2316,0.003207257630198243
pa,500,4,alpha,-4.75,NetLSD,0.9768574256961023,2316,0.5548388788164306
pa,500,4,alpha,-4.75,NetSimile,5.13599883619053,2316,1.39581137131655
pa,500,4,alpha,-4.75,NonBacktrackingSpectral,0.15959803788787688,2316,0.0433552065030003
pa,500,4,alpha,-4.75,PolynomialDissimilarity,0.00024509683653882344,2316,8.062997396603318e-07
pa,500,4,alpha,-4.75,PortraitDivergence,0.10374724260314246,2316,0.006627725278287263
pa,500,4,alpha,-4.75,QuantumJSD,0.11975651934963712,2316,0.0004615911787140059
pa,500,4,alpha,-4.75,ResistancePerturbation,69.79750951168877,2316,2.373108140671723
pa,500,4,alpha,-4.625,CommunicabilityJSD,0.00010171432131060626,2316,6.263215544296486e-05
pa,500,4,alpha,-4.625,DMeasure,0.007645875525692328,2316,0.003358449298795975
pa,500,4,alpha,-4.625,DegreeDivergence,0.0026059998273703345,2316,0.0016510358369990993
