ensemble,n,k,param_label,param_value,distance_label,d_mean,d_n,d_stdv
scm,1000,12,gamma,2.01,CommunicabilityJSD,0.12713677421971992,1172,0.2360369696248436
scm,1000,12,gamma,2.01,DMeasure,0.09886776875900792,1172,0.17600010885067952
scm,1000,12,gamma,2.01,DegreeDivergence,0.1345374654438791,1172,0.27212876809535697
scm,1000,12,gamma,2.01,DeltaCon,6.312903024740693,1172,5.812332986221553
scm,1000,12,gamma,2.01,DistributionalNBD,6.9713247730836745,1170,4.366485110246047
scm,1000,12,gamma,2.01,Frobenius,42.45850038205995,1172,67.77885097646549
scm,1000,12,gamma,2.01,GraphDiffusion,15.783707237342634,1172,6.819402557119274
scm,1000,12,gamma,2.01,Hamming,0.006399162861491636,1172,0.03643342602077235
scm,1000,12,gamma,2.01,HammingIpsenMikhailov,0.0942615137547107,1172,0.17359825317449185
scm,1000,12,gamma,2.01,IpsenMikhailov,0.345831239608283,1172,0.6090526270278636
scm,1000,12,gamma,2.01,Jaccard,0.9998177195679019,1172,0.0006424974602538443
scm,1000,12,gamma,2.01,LaplacianSpectralEUL,0.8967786853138178,1172,1.5634737060911172
scm,1000,12,gamma,2.01,LaplacianSpectralGJS,0.22297187204568922,1172,0.20966661576893367
scm,1000,12,gamma,2.01,NetLSD,1747.9679513004112,1172,3429.9351419370905
scm,1000,12,gamma,2.01,NetSimile,7.680123618569141,1172,6.5476896899010075
scm,1000,12,gamma,2.01,NonBacktrackingSpectral,0.7857327847093517,1170,2.3556093850469955
scm,1000,12,gamma,2.01,PolynomialDissimilarity,4.3792091214382005e-05,1172,7.674742290378299e-05
scm,1000,12,gamma,2.01,PortraitDivergence,0.23362818158668086,1172,0.31144667311815427
scm,1000,12,gamma,2.01,QuantumJSD,0.10250353940940907,1172,0.12518583464809344
scm,1000,12,gamma,2.06,CommunicabilityJSD,0.12731672148097073,1172,0.1687153294441531
scm,1000,12,gamma,2.06,DMeasure,0.18708147831663988,1172,0.17336142972812743
scm,1000,12,gamma,2.06,DegreeDivergence,0.2766712137368328,1172,0.33335098806343333
scm,1000,12,gamma,2.06,DeltaCon,10.233594949967134,1172,11.088883634504949
scm,1000,12,gamma,2.06,DistributionalNBD,9.367268946070295,1172,9.491599838210082
scm,1000,12,gamma,2.06,Frobenius,122.1331231606986,1172,124.04696938181235
scm,1000,12,gamma,2.06,GraphDiffusion,41.22516815982142,1172,55.359698038505755
scm,1000,12,gamma,2.06,Hamming,0.030321297324721958,1172,0.07481898287193417
scm,1000,12,gamma,2.06,HammingIpsenMikhailov,0.15513972989715163,1172,0.16529773984081544
scm,1000,12,gamma,2.06,IpsenMikhailov,0.38432835163237467,1172,0.35421928080146503
scm,1000,12,gamma,2.06,Jaccard,0.9982200012413326,1172,0.0015508804499362917
scm,1000,12,gamma,2.06,LaplacianSpectralEUL,0.9417323604088156,1172,0.8372319328054529
scm,1000,12,gamma,2.06,LaplacianSpectralGJS,0.2829689406952809,1172,0.2144912659699065
scm,1000,12,gamma,2.06,NetLSD,2193.1859299561543,1172,2449.616596930039
scm,1000,12,gamma,2.06,NetSimile,12.932051546565479,1172,7.1952613950245405
scm,1000,12,gamma,2.06,NonBacktrackingSpectral,2.043074295022554,1172,4.427682722453509
scm,1000,12,gamma,2.06,PolynomialDissimilarity,0.00012813522070680294,1172,0.00014309898331562782
scm,1000,12,gamma,2.06,PortraitDivergence,0.5125761444481363,1172,0.2774237341016867
scm,1000,12,gamma,2.06,QuantumJSD,0.270117570540937,1172,0.2218768658394663
scm,1000,12,gamma,2.11,CommunicabilityJSD,0.06813621354226809,1172,0.09855800406088915
scm,1000,12,gamma,2.11,DMeasure,0.17165178285297955,1172,0.1489148666725519
scm,1000,12,gamma,2.11,DegreeDivergence,0.2593711789376174,1172,0.3148636467855293
scm,1000,12,gamma,2.11,DeltaCon,10.555658950511427,1172,10.54860652942178
scm,1000,12,gamma,2.11,DistributionalNBD,9.680498673798517,1172,9.892548686226718
scm,1000,12,gamma,2.11,Frobenius,139.35227240787327,1172,114.94461538840478
scm,1000,12,gamma,2.11,GraphDiffusion,325.6657103751392,1172,9365.628918904611
scm,1000,12,gamma,2.11,Hamming,0.03265266122286673,1172,0.0718971519015306
scm,1000,12,gamma,2.11,HammingIpsenMikhailov,0.14028312898212883,1172,0.15108019991662852
scm,1000,12,gamma,2.11,IpsenMikhailov,0.30025088185860077,1172,0.268908384222579
scm,1000,12,gamma,2.11,Jaccard,0.9970417818019878,1172,0.001950755657643648
scm,1000,12,gamma,2.11,LaplacianSpectralEUL,0.6564796226952386,1172,0.5385276429394902
scm,1000,12,gamma,2.11,LaplacianSpectralGJS,0.2552948221655957,1172,0.19317743693643688
scm,1000,12,gamma,2.11,NetLSD,990.7661066374296,1172,1012.173612121519
scm,1000,12,gamma,2.11,NetSimile,11.15932524587019,1172,6.893478632126709
scm,1000,12,gamma,2.11,NonBacktrackingSpectral,1.944901105499346,1172,4.16470096031338
scm,1000,12,gamma,2.11,PolynomialDissimilarity,0.00014497478367273854,1172,0.00013324447713053652
scm,1000,12,gamma,2.11,PortraitDivergence,0.5303735093089937,1172,0.20748970099737782
scm,1000,12,gamma,2.11,QuantumJSD,0.30661597533781215,1172,0.20328589207279077
scm,1000,12,gamma,2.11,ResistancePerturbation,173.9471104740734,3,
scm,1000,12,gamma,2.16,CommunicabilityJSD,0.05350921666871818,1172,0.0822005328056414
scm,1000,12,gamma,2.16,DMeasure,0.1600056511089938,1172,0.13709261000125747
scm,1000,12,gamma,2.16,DegreeDivergence,0.24204449674803472,1172,0.29708465401871076
scm,1000,12,gamma,2.16,DeltaCon,10.635452423419274,1172,10.033798099651
scm,1000,12,gamma,2.16,DistributionalNBD,9.45907333502217,1172,9.649803053450292
scm,1000,12,gamma,2.16,Frobenius,148.25071966536305,1172,110.19757037432493
scm,1000,12,gamma,2.16,GraphDiffusion,74.78715015904692,1172,1124.2426808574066
scm,1000,12,gamma,2.16,Hamming,0.03414552909073458,1172,0.07023531116819565
scm,1000,12,gamma,2.16,HammingIpsenMikhailov,0.132473479345507,1172,0.14136899669005748
scm,1000,12,gamma,2.16,IpsenMikhailov,0.27531499530779147,1172,0.24457300452503594
scm,1000,12,gamma,2.16,Jaccard,0.9962991535563114,1172,0.002810587877529966
scm,1000,12,gamma,2.16,LaplacianSpectralEUL,0.5590028076572432,1172,0.45856268521917215
scm,1000,12,gamma,2.16,LaplacianSpectralGJS,0.23072021192459166,1172,0.1735838382393399
scm,1000,12,gamma,2.16,NetLSD,670.6644295277013,1172,637.498261386937
scm,1000,12,gamma,2.16,NetSimile,10.91868762319361,1172,6.565498011128004
scm,1000,12,gamma,2.16,NonBacktrackingSpectral,1.8527931206788562,1172,3.9698481704889628
scm,1000,12,gamma,2.16,PolynomialDissimilarity,0.00015366207381926368,1172,0.00012809273919788048
scm,1000,12,gamma,2.16,PortraitDivergence,0.5064660922992148,1172,0.19437276540953824
scm,1000,12,gamma,2.16,QuantumJSD,0.32584575635043533,1172,0.19108661505248678
scm,1000,12,gamma,2.16,ResistancePerturbation,100.72034077525585,4,140.14417938355987
scm,1000,12,gamma,2.21,CommunicabilityJSD,0.04546908789267712,1172,0.07347701121856523
scm,1000,12,gamma,2.21,DMeasure,0.15115696363241832,1172,0.13073293729819238
