ensemble,n,k,param_label,param_value,distance_label,d_mean,d_n,d_stdv
ws,500,8,p,4.15e-05,CommunicabilityJSD,2.862375571573742e-05,1000,5.379611910325601e-05
ws,500,8,p,4.15e-05,DMeasure,0.03663817699840663,1000,0.07020529761257548
ws,500,8,p,4.15e-05,DegreeDivergence,0.0002815651260091315,1000,0.00052300145600319
ws,500,8,p,4.15e-05,DeltaCon,2.3512361413743696,1000,4.3036586818797655
ws,500,8,p,4.15e-05,DistributionalNBD,0.6126094715710895,1000,1.13948606579471
ws,500,8,p,4.15e-05,Frobenius,0.5115138091026245,1000,0.9041334096058359
ws,500,8,p,4.15e-05,GraphDiffusion,0.8179059287266714,1000,1.4840307712228666
ws,500,8,p,4.15e-05,Hamming,1.6857311950015043e-06,1000,3.089859235576382e-06
ws,500,8,p,4.15e-05,HammingIpsenMikhailov,3.241977644241228e-05,1000,6.01291750344326e-05
ws,500,8,p,4.15e-05,IpsenMikhailov,0.0003730245665506349,1000,0.0006944903543732618
ws,500,8,p,4.15e-05,Jaccard,0.00016830073049431922,1000,0.0003084714155569625
ws,500,8,p,4.15e-05,LaplacianSpectralEUL,0.0014735793311579403,1000,0.002726434843810958
ws,500,8,p,4.15e-05,LaplacianSpectralGJS,0.0020510369342799702,1000,0.004644689389061925
ws,500,8,p,4.15e-05,NetLSD,0.25618601765864674,1000,0.4797671835467457
ws,500,8,p,4.15e-05,NetSimile,4.5803114344813975,1000,8.29692999922022
ws,500,8,p,4.15e-05,NonBacktrackingSpectral,0.1586878821412459,1000,0.18667512931626923
ws,500,8,p,4.15e-05,PolynomialDissimilarity,2.136834619687023e-06,1000,3.858361151186241e-06
ws,500,8,p,4.15e-05,PortraitDivergence,0.04942219829025259,1000,0.10214612998478238
ws,500,8,p,4.15e-05,QuantumJSD,0.0008653435994246623,1000,0.0015609602369836455
ws,500,8,p,4.15e-05,ResistancePerturbation,175.98792049624666,1000,358.56864025311506
ws,500,8,p,4.91e-05,CommunicabilityJSD,2.8472971391689032e-05,1000,5.489605406889631e-05
ws,500,8,p,4.91e-05,DMeasure,0.036774342317251775,1000,0.07132954480662418
ws,500,8,p,4.91e-05,DegreeDivergence,0.0003103925419566776,1000,0.0005842326610842936
ws,500,8,p,4.91e-05,DeltaCon,2.3470836431455186,1000,4.288256106576378
ws,500,8,p,4.91e-05,DistributionalNBD,0.6141168215970034,1000,1.1436910753588616
ws,500,8,p,4.91e-05,Frobenius,0.532774589622929,1000,0.9301153891381638
ws,500,8,p,4.91e-05,GraphDiffusion,0.8279851981637882,1000,1.4805843302704205
ws,500,8,p,4.91e-05,Hamming,1.7948792579872129e-06,1000,3.280765142065839e-06
ws,500,8,p,4.91e-05,HammingIpsenMikhailov,3.252977690267996e-05,1000,6.042337105618319e-05
ws,500,8,p,4.91e-05,IpsenMikhailov,0.00036870004265685663,1000,0.00068594160155217
